Round,Date,Time,Home team,Away team
Group,6/18/2026,23:00,Czechia,South Africa
Group,6/19/2026,2:00,Switzerland,Bosnia and Herzegovina
Group,6/19/2026,5:00,Canada,Qatar
Group,6/19/2026,8:00,Mexico,South Korea
Group,6/20/2026,2:00,USA,Australia
Group,6/20/2026,5:00,Scotland,Morocco
Group,6/20/2026,7:00,Ecuador,Curacao
Group,6/20/2026,8:00,Brazil,Haiti
Group,6/20/2026,10:00,Turkey,Paraguay
Group,6/21/2026,0:00,Netherlands,Sweden
Group,6/21/2026,3:00,Germany,Ivory Coast
Group,6/21/2026,7:00,Tunisia,Japan
Group,6/21/2026,8:00,New Zealand,Egypt
Group,6/21/2026,23:00,Spain,Saudi Arabia
Group,6/22/2026,0:00,Argentina,Austria
Group,6/22/2026,2:00,Belgium,Iran
Group,6/22/2026,5:00,Uruguay,Cape Verde
Group,6/23/2026,4:00,France,Iraq
Group,6/23/2026,7:00,Norway,Senegal
Group,6/23/2026,10:00,Jordan,Algeria
Group,6/24/2026,0:00,Portugal,Uzbekistan
Group,6/24/2026,3:00,England,Ghana
Group,6/24/2026,6:00,Panama,Croatia
Group,6/24/2026,9:00,Colombia,DR Congo
Group,6/25/2026,2:00,Bosnia and Herzegovina,Qatar
Group,6/25/2026,2:00,Switzerland,Canada
Group,6/25/2026,5:00,Scotland,Brazil
Group,6/25/2026,5:00,Morocco,Haiti
Group,6/25/2026,8:00,Czechia,Mexico
Group,6/25/2026,8:00,South Africa,South Korea
Group,6/26/2026,3:00,Ecuador,Germany
Group,6/26/2026,3:00,Curacao,Ivory Coast
Group,6/26/2026,6:00,Japan,Sweden
Group,6/26/2026,6:00,Tunisia,Netherlands
Group,6/26/2026,9:00,Turkey,USA
Group,6/26/2026,9:00,Paraguay,Australia
Group,6/27/2026,1:00,Norway,France
Group,6/27/2026,1:00,Senegal,Iraq
Group,6/27/2026,3:00,Cape Verde,Saudi Arabia
Group,6/27/2026,3:00,Uruguay,Spain
Group,6/27/2026,6:00,Egypt,Iran
Group,6/27/2026,6:00,New Zealand,Belgium
Group,6/28/2026,4:00,Panama,England
Group,6/28/2026,4:00,Croatia,Ghana
Group,6/28/2026,6:00,Colombia,Portugal
Group,6/28/2026,6:00,DR Congo,Uzbekistan
Group,6/28/2026,9:00,Algeria,Austria
Group,6/28/2026,9:00,Jordan,Argentina
